2022-08-22 01:35:14,pingineer_jp,domain,vioinvssxaonsrscziera.vocaseocosucvoiei.whrsmz.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527383802331136
2022-08-22 01:35:19,pingineer_jp,domain,viaseesxcvoerscznrem.vsosieovsismscvoiei.gykmlg.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527405847932929
2022-08-22 01:35:25,pingineer_jp,domain,vioinvssxaoesnsrscoiwzxera.vocaseocenosunvi.hbmvps.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527428622991361
2022-08-22 01:35:29,AP_Zenmashi,url,https://www.eptdhfi5.cn,#phishing #scam,https://twitter.com/AP_Zenmashi/status/1561527445345316865
2022-08-22 01:35:30,pingineer_jp,domain,vioinvssxaoesnscoiwzxera.vocaseocenosucvoiei.sfozln.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527450483380224
2022-08-22 01:35:35,pingineer_jp,domain,vioesresrcecsnv.vsoersoecsrvxarerescvi.thnoceg.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527472738693120
2022-08-22 01:35:41,pingineer_jp,domain,vioinvssxaoesnscoiwzxera.vocaseocenosucvoiei.ziehxi.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527494737399808
2022-08-22 01:35:46,pingineer_jp,domain,vioinvssaoesnoiwzxera.vocasccoensunvi.gkaxhu.id,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527516795633664
2022-08-22 01:35:51,pingineer_jp,domain,viniocure.visorcsiercvxarevi.ukzxens.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527538806976513
2022-08-22 01:35:56,pingineer_jp,domain,vioesresrcecsnv.vsoersoecsrvxarerescvi.cnufsqh.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527561049751553
2022-08-22 01:36:02,pingineer_jp,domain,vioesreosnv.vsoersioirescvi.drdsyje.rest,#phishing #scam,https://twitter.com/pingineer_jp/status/1561527583295950848
