2026-08-07 10:59:00,Malwarehunterr,sha256,e7e5e7086870d785c55cde559c34d61552fe7ba2cffea32a436b66c21b1f79d2,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,sha256,cb5f23db25beb1488652c6284e233c3bed51b14c645fcf4dbc5451294cb36251,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,sha256,c8f7d8d9eef2476399e70a0859daecb0f2dde82a2dd06b89feedcd006e0cc4cd,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,sha256,f44dc45f71ac594117fd2729fc3b9f52e9bbd56ffbac17fb628701899a0a4668,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,sha256,de13761793b3e153e778c11f55aa2ed5090e5d0a972cdcfa2253b1425d67518d,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,sha256,adb8347dfa1b1df1ca2211fe4d7e82f27ced939f1bf3d52548e52bc9e23fc52c,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 10:59:00,Malwarehunterr,sha256,f8e409319baa062bbba8bb4114889d7e3dfc5774780aefc57a46f19ff407c18b,#malware,https://x.com/Malwarehunterr/status/2085682189715546454
2026-08-07 11:33:00,GenThreatLabs,url,http://open.spotify.com/playlist/2dvn7V4XCeuTLtxfxk2Z10,,https://x.com/GenThreatLabs/status/2085690853280903514
2026-08-07 11:33:00,GenThreatLabs,url,http://open.spotify.com/playlist/77UhzsiaoltLTvTgnY5jHI,,https://x.com/GenThreatLabs/status/2085690853280903514
2026-08-07 11:33:00,GenThreatLabs,sha256,a7df9a9665a96ca5814b40e4c6aac121d8822fd702d80b597b567b274ac943fd,,https://x.com/GenThreatLabs/status/2085690853280903514
2026-08-07 11:33:00,GenThreatLabs,sha256,8cfaa9120e316c59e4d6fa3093c7fe19e231b0ff1d39baa3993742627e26e105,,https://x.com/GenThreatLabs/status/2085690853280903514
2026-08-07 11:33:00,GenThreatLabs,sha256,22c9422358273b2c9ce7c6641f925e34ba1197efa7363ce8fc1553e105746df3,,https://x.com/GenThreatLabs/status/2085690853280903514
2026-08-07 11:33:00,GenThreatLabs,sha256,55565dd4f8070624f2a18e9ddd1ca6a04f46b587a6e0c9e804f60603c0258f82,,https://x.com/GenThreatLabs/status/2085690853280903514
2026-08-07 11:33:00,GenThreatLabs,sha256,4b4ae799a07bd7bc4b9bbce47fe30055f2257e05043e9c7a8be0d556ef55d718,,https://x.com/GenThreatLabs/status/2085690853280903514
2026-08-07 12:26:00,OpcodeIntel,url,http://43.156.228.149:8888,#malware #opendir,https://x.com/OpcodeIntel/status/2085704012163321903
2026-08-07 12:26:00,OpcodeIntel,ip,43.156.228.149,#malware #opendir,https://x.com/OpcodeIntel/status/2085704012163321903
2026-08-07 12:26:00,OpcodeIntel,sha256,141079d8a6328c9764c1c74934fb6c9d5c9db12cb558e2da827dc45da7dd45f5,#malware #opendir,https://x.com/OpcodeIntel/status/2085704012163321903
2026-08-07 12:45:00,Malwarehunterr,url,http://31.76.87.37,#ClickFix #malware,https://x.com/Malwarehunterr/status/2085708869406273724
2026-08-07 12:45:00,Malwarehunterr,url,http://31.76.87.37:8443,#ClickFix #malware,https://x.com/Malwarehunterr/status/2085708869406273724
2026-08-07 12:45:00,Malwarehunterr,domain,pub-32e2f642271c45008a1601bacbdfd3f1.r2.dev,#ClickFix #malware,https://x.com/Malwarehunterr/status/2085708869406273724
2026-08-07 12:45:00,Malwarehunterr,url,http://pub-32e2f642271c45008a1601bacbdfd3f1.r2.dev,#ClickFix #malware,https://x.com/Malwarehunterr/status/2085708869406273724
2026-08-07 12:45:00,Malwarehunterr,ip,31.76.87.37,#ClickFix #malware,https://x.com/Malwarehunterr/status/2085708869406273724
2026-08-07 12:45:00,Malwarehunterr,sha256,447adde94a1f14ba36c831b1009bd35992e66404aa3a4114b4bca921edab3969,#ClickFix #malware,https://x.com/Malwarehunterr/status/2085708869406273724
2026-08-07 12:45:00,Malwarehunterr,sha256,ceb70e58e63eac81b8193e7b0dabd42168feb7929a0005c883967b99e1759732,#ClickFix #malware,https://x.com/Malwarehunterr/status/2085708869406273724
2026-08-07 12:46:00,webamon_search,domain,sqllq.com,,https://x.com/webamon_search/status/2085709242686705944
2026-08-07 12:46:00,webamon_search,url,http://sqllq.com,,https://x.com/webamon_search/status/2085709242686705944
2026-08-07 12:46:00,webamon_search,domain,020gfhs.com,,https://x.com/webamon_search/status/2085709242686705944
2026-08-07 12:46:00,webamon_search,url,http://020gfhs.com,,https://x.com/webamon_search/status/2085709242686705944
2026-08-07 12:46:00,webamon_search,domain,000.rich,,https://x.com/webamon_search/status/2085709242686705944
2026-08-07 12:46:00,webamon_search,url,http://000.rich,,https://x.com/webamon_search/status/2085709242686705944
2026-08-07 12:47:00,OpcodeIntel,md5,4af8266ffe2ef42db33c2c6f3f5744c3,#malware,https://x.com/OpcodeIntel/status/2085709457523417430
2026-08-07 12:47:00,Kb4Threatlabs,domain,docuemntlon-slgndeliveredsarvimcing.org,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,url,http://docuemntlon-slgndeliveredsarvimcing.org,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,domain,carrental.dreamstravelandtour.com,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,url,http://carrental.dreamstravelandtour.com/secure/secured.php,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,domain,mostaqpal-masr.com,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,url,http://mostaqpal-masr.com/secure/secured.php,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,domain,testcrm.microsharp.net,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,url,http://testcrm.microsharp.net/secure/secured.php,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,domain,anfrgroup.com,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,url,http://anfrgroup.com/secure/secured.php,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 12:47:00,Kb4Threatlabs,url,http://mail.google.com/mail/u/0/flowEntry=AddSession,#phishing,https://x.com/Kb4Threatlabs/status/2085709307879035358
2026-08-07 13:00:00,CriminalIP_US,ip,7.2.3.2,,https://x.com/CriminalIP_US/status/2085712570372264359
2026-08-07 13:00:00,CriminalIP_US,ip,8.0.5.1,,https://x.com/CriminalIP_US/status/2085712570372264359
2026-08-07 13:00:00,CriminalIP_US,ip,8.1.3.1,,https://x.com/CriminalIP_US/status/2085712570372264359
2026-08-07 13:03:00,teamcymru_S2,ip,120.26.146.96,#opendir,https://x.com/teamcymru_S2/status/2085713328928698486
2026-08-07 13:03:00,teamcymru_S2,ip,209.177.145.97,#opendir,https://x.com/teamcymru_S2/status/2085713328928698486
2026-08-07 13:03:00,teamcymru_S2,ip,118.25.25.199,#opendir,https://x.com/teamcymru_S2/status/2085713328928698486
2026-08-07 13:03:00,teamcymru_S2,ip,154.201.70.25,#opendir,https://x.com/teamcymru_S2/status/2085713328928698486
2026-08-07 13:03:00,teamcymru_S2,ip,46.224.67.169,#opendir,https://x.com/teamcymru_S2/status/2085713328928698486
2026-08-07 13:03:00,teamcymru_S2,ip,154.217.241.175,#opendir,https://x.com/teamcymru_S2/status/2085713328928698486
2026-08-07 13:03:00,teamcymru_S2,ip,193.148.56.65,#opendir,https://x.com/teamcymru_S2/status/2085713328928698486
2026-08-07 14:01:00,onodera460,ip,2.8.1.1,,https://x.com/onodera460/status/2085728136130355316
2026-08-07 14:11:00,kubotaa3,url,https://zwinti.com,#phishing,https://x.com/kubotaa3/status/2085730470843801705
2026-08-07 14:20:00,skocherhan,domain,zwinti.com,#phishing,https://x.com/skocherhan/status/2085732912184356996
2026-08-07 14:20:00,skocherhan,url,https://zwinti.com/ip,#phishing,https://x.com/skocherhan/status/2085732912184356996
2026-08-07 14:20:00,skocherhan,ip,43.165.178.87,#phishing,https://x.com/skocherhan/status/2085732912184356996
2026-08-07 14:25:00,skocherhan,domain,ra-posadwad.com,,https://x.com/skocherhan/status/2085734032415854882
2026-08-07 14:25:00,skocherhan,url,http://ra-posadwad.com/MS/main/RBS/loginUsername,,https://x.com/skocherhan/status/2085734032415854882
2026-08-07 14:25:00,skocherhan,domain,ra-kusdoawds.com,,https://x.com/skocherhan/status/2085734032415854882
2026-08-07 14:25:00,skocherhan,url,http://ra-kusdoawds.com/MS/main/RBS/loginUsername,,https://x.com/skocherhan/status/2085734032415854882
2026-08-07 14:25:00,skocherhan,url,http://192.238.160.133,,https://x.com/skocherhan/status/2085734032415854882
2026-08-07 14:25:00,skocherhan,ip,192.238.160.133,,https://x.com/skocherhan/status/2085734032415854882
2026-08-07 14:44:00,masaomi346,domain,angels-travel.com,#phishing,https://x.com/masaomi346/status/2085738913289945155
2026-08-07 14:44:00,masaomi346,url,https://angels-travel.com/jmFfvPRN/,#phishing,https://x.com/masaomi346/status/2085738913289945155
2026-08-07 14:51:00,harugasumi,domain,njteger.com,#phishing,https://x.com/harugasumi/status/2085740530781294889
2026-08-07 14:51:00,harugasumi,url,https://njteger.com/page/ipxcrmamsl,#phishing,https://x.com/harugasumi/status/2085740530781294889
2026-08-07 14:51:00,harugasumi,domain,gqggg.top,#phishing,https://x.com/harugasumi/status/2085740530781294889
2026-08-07 14:51:00,harugasumi,url,https://gqggg.top/jp/,#phishing,https://x.com/harugasumi/status/2085740530781294889
2026-08-07 14:51:00,harugasumi,ip,43.167.208.189,#phishing,https://x.com/harugasumi/status/2085740530781294889
2026-08-07 14:51:00,harugasumi,ip,43.167.26.140,#phishing,https://x.com/harugasumi/status/2085740530781294889
2026-08-07 15:07:00,skocherhan,url,http://10.196.252.46.host.secureserver.net/pdf,,https://x.com/skocherhan/status/2085744703325065370
2026-08-07 15:11:00,skocherhan,domain,10.196.252.46.host.secureserver.net,#phishing,https://x.com/skocherhan/status/2085745772406968560
2026-08-07 15:11:00,skocherhan,url,http://10.196.252.46.host.secureserver.net/pdfPDF,#phishing,https://x.com/skocherhan/status/2085745772406968560
2026-08-07 15:21:00,skocherhan,domain,grupotaus.com,,https://x.com/skocherhan/status/2085748189383082302
2026-08-07 15:21:00,skocherhan,url,http://grupotaus.com,,https://x.com/skocherhan/status/2085748189383082302
2026-08-07 15:35:00,skocherhan,domain,93.105.205.92.host.secureserver.net,,https://x.com/skocherhan/status/2085751679895429348
2026-08-07 15:35:00,skocherhan,url,http://93.105.205.92.host.secureserver.net/vendas.html,,https://x.com/skocherhan/status/2085751679895429348
2026-08-07 15:39:00,skocherhan,sha256,c8756ea3af938d0c6d6940850b12d23963e1e417aae0aa15c2fcb13390974995,,https://x.com/skocherhan/status/2085752744699146319
2026-08-07 15:42:00,craiu,url,http://siege-close.com/x9i32md/w1/la02,#ClickFix,https://x.com/craiu/status/2085753478039662997
2026-08-07 15:48:00,skocherhan,domain,siege-close.com,#ClickFix,https://x.com/skocherhan/status/2085754876840022351
2026-08-07 15:48:00,skocherhan,url,http://siege-close.com/x9i32md/w1/la02The,#ClickFix,https://x.com/skocherhan/status/2085754876840022351
2026-08-07 16:12:00,skocherhan,domain,105.205.92.host.secureserver.net,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,url,http://105.205.92.host.secureserver.net,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,url,http://93.105.205.92.host.secureserver.net,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,domain,adws.avcstentrega.com,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,url,http://adws.avcstentrega.com,,https://x.com/skocherhan/status/2085760937739374794
