2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.fit,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.icu,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.icu,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.online,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.online,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.study,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.study,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag.surf,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag.surf,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintag26.xin,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintag26.xin,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagapp.lat,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagapp.lat,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagapp.pics,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagapp.pics,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagas.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagas.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.qpon,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.qpon,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.shop,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.shop,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagcl.surf,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagcl.surf,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagclonline.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagclonline.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagclonline.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagclonline.click,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagclonline.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagclonline.help,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagclonline.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagclonline.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagclonline.sbs,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagclonline.sbs,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagclonline.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagclonline.top,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintage.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintage.cyou,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintage.online,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintage.online,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintages.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintages.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintages.online,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintages.online,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagi.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagi.casa,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagi.cfd,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagi.cfd,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagi.lol,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagi.lol,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagi.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagi.mom,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagionline.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,url,http://pasastesintagionline.best,#phishing,https://x.com/tial_cl/status/2071307374497861790
2026-06-28 18:58:00,tial_cl,domain,pasastesintagionline.life,#phishing,https://x.com/tial_cl/status/2071307374497861790
