2025-04-02 00:01:22,RacWatchin8872,url,https://github.com/ROMILDOVAZ/musicas/releases/download/fdsfdsf/Setuvlast.zip,#Lumma,https://x.com/RacWatchin8872/status/1907221785323483322
2025-04-02 00:28:46,harugasumi,ip,47.238.159.31,#phishing,https://x.com/harugasumi/status/1907228680088350978
2025-04-02 00:30:49,masaomi346,domain,auadricentennia.qdr12.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 00:30:49,masaomi346,url,https://auadricentennia.qdr12.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 00:30:49,masaomi346,domain,radiobroadcastin.ggu14.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 00:30:49,masaomi346,url,https://radiobroadcastin.ggu14.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 00:30:49,masaomi346,domain,tetrachloroethyle.qkyg1.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 00:30:49,masaomi346,url,https://tetrachloroethyle.qkyg1.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 00:30:49,masaomi346,domain,unenthusiastica.nir37.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 00:30:49,masaomi346,url,https://unenthusiastica.nir37.com,#phishing,https://x.com/masaomi346/status/1907229195035721800
2025-04-02 01:53:29,0xmh1,ip,91.198.66.158,,https://x.com/0xmh1/status/1907245404766531772
2025-04-02 01:53:29,0xmh1,sha256,b86140ad75113e930e40228d3e1d7ba1f9e48abb0e02ee293bdd40d6cde8c061,,https://x.com/0xmh1/status/1907245404766531772
2025-04-02 01:53:29,0xmh1,url,http://91.198.66.112,,https://x.com/0xmh1/status/1907245404766531772
2025-04-02 01:53:29,0xmh1,url,http://91.198.66.158,,https://x.com/0xmh1/status/1907245404766531772
2025-04-02 01:53:29,0xmh1,ip,91.198.66.112,,https://x.com/0xmh1/status/1907245404766531772
2025-04-02 01:53:38,byrne_emmy12099,sha256,a371406b38a00f9eab49b2cb36ce1a21ef19f6b215530cd6cc437573172320d5,#APT,https://x.com/byrne_emmy12099/status/1907245742319886661
2025-04-02 01:53:44,SecAI_AI,domain,post.blogalarm.kro.kr,#APT #Kimsuky,https://x.com/SecAI_AI/status/1907090182362611810
2025-04-02 01:53:44,SecAI_AI,url,http://post.blogalarm.kro.kr,#APT #Kimsuky,https://x.com/SecAI_AI/status/1907090182362611810
2025-04-02 01:53:44,SecAI_AI,domain,nid-info.checkmyblog.kro.kr,#APT #Kimsuky,https://x.com/SecAI_AI/status/1907090182362611810
2025-04-02 01:53:44,SecAI_AI,url,http://nid-info.checkmyblog.kro.kr,#APT #Kimsuky,https://x.com/SecAI_AI/status/1907090182362611810
2025-04-02 02:00:11,urldna_bot,domain,mailaccountvalidationmicrostmail.com,#scam #phishing,https://x.com/urldna_bot/status/1907251686319571299
2025-04-02 02:00:11,urldna_bot,url,http://mailaccountvalidationmicrostmail.com/MaW5mb0ByamNvb2wuYmU=,#scam #phishing,https://x.com/urldna_bot/status/1907251686319571299
2025-04-02 02:22:11,Cyberteam008,url,http://118.107.221.43,#malware #APT,https://x.com/Cyberteam008/status/1907257221118881893
2025-04-02 02:22:11,Cyberteam008,md5,dffacad29ff24a98f6871e929aeb5b9a,#malware #APT,https://x.com/Cyberteam008/status/1907257221118881893
2025-04-02 02:22:11,Cyberteam008,md5,8bf5cefff946f9d5be6a3331dd7c16ff,#malware #APT,https://x.com/Cyberteam008/status/1907257221118881893
2025-04-02 02:22:11,Cyberteam008,ip,118.107.221.43,#malware #APT,https://x.com/Cyberteam008/status/1907257221118881893
2025-04-02 02:29:50,Metemcyber,url,http://43.133.196.152,#phishing,https://x.com/Metemcyber/status/1907259146652774739
2025-04-02 02:29:50,Metemcyber,ip,43.133.196.152,#phishing,https://x.com/Metemcyber/status/1907259146652774739
2025-04-02 02:29:50,Metemcyber,domain,ivfdo.cn,#phishing,https://x.com/Metemcyber/status/1907259146652774739
2025-04-02 02:29:50,Metemcyber,url,https://ivfdo.cn/masjejtpoanekjcatacae/,#phishing,https://x.com/Metemcyber/status/1907259146652774739
2025-04-02 02:34:28,Metemcyber,url,https://hainanfangfumu.com/peptstationacy-html,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:34:28,Metemcyber,domain,techninvestmentette.top,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:34:28,Metemcyber,url,https://techninvestmentette.top/peptstationacy-html,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:34:28,Metemcyber,domain,hainanfangfumu.com,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:34:28,Metemcyber,url,https://liaobinguan.com/peptstationacy-html,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:34:28,Metemcyber,url,http://43.133.204.131,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:34:28,Metemcyber,ip,43.133.204.131,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:34:28,Metemcyber,domain,liaobinguan.com,#phishing,https://x.com/Metemcyber/status/1907260312526762010
2025-04-02 02:37:59,Metemcyber,domain,saison-cardinco.shop,#phishing,https://x.com/Metemcyber/status/1907261200108556335
2025-04-02 02:37:59,Metemcyber,url,https://saison-cardinco.shop/mail3.card,#phishing,https://x.com/Metemcyber/status/1907261200108556335
2025-04-02 02:37:59,Metemcyber,url,http://165.154.112.74,#phishing,https://x.com/Metemcyber/status/1907261200108556335
2025-04-02 02:37:59,Metemcyber,ip,165.154.112.74,#phishing,https://x.com/Metemcyber/status/1907261200108556335
2025-04-02 02:39:43,Metemcyber,url,https://qyrhu.cn/viasejpansekjtaase/,#phishing,https://x.com/Metemcyber/status/1907261633023590820
2025-04-02 02:39:43,Metemcyber,domain,qyrhu.cn,#phishing,https://x.com/Metemcyber/status/1907261633023590820
2025-04-02 05:00:51,JangPr0,domain,yellowstone-marketing.com,#APT,https://x.com/JangPr0/status/1907297153120346219
2025-04-02 05:00:51,JangPr0,url,https://yellowstone-marketing.com/wp-includes/js/inc/get.php,#APT,https://x.com/JangPr0/status/1907297153120346219
2025-04-02 05:00:51,JangPr0,url,https://yellowstone-marketing.com/wp-includes/js/src/upload.php,#APT,https://x.com/JangPr0/status/1907297153120346219
2025-04-02 05:00:51,JangPr0,sha256,a87c663dea792121b6a17b8e605159116e30434f2c67b8be0b198ba8229d2a3d,#APT,https://x.com/JangPr0/status/1907297153120346219
2025-04-02 06:02:31,suyog41,domain,test.excellencesinfo.com,#phishing,https://x.com/suyog41/status/1907312671877411160
2025-04-02 06:02:31,suyog41,url,http://test.excellencesinfo.com,#phishing,https://x.com/suyog41/status/1907312671877411160
2025-04-02 06:02:31,suyog41,md5,61203a413d4a7a9dbdec1fe2c3c6287b,#phishing,https://x.com/suyog41/status/1907312671877411160
2025-04-02 06:15:30,byrne_emmy12099,domain,nailemkosmetik.de,#Kimsuky,https://x.com/byrne_emmy12099/status/1907302401243308415
2025-04-02 06:15:30,byrne_emmy12099,url,https://nailemkosmetik.de/wp-admin/js/widgets/hurryup/?rv=bear&za=battle0,#Kimsuky,https://x.com/byrne_emmy12099/status/1907302401243308415
2025-04-02 06:18:53,suyog41,md5,d2197f23cdec9489130cbb50f26d0131,,https://x.com/suyog41/status/1907316791560540334
2025-04-02 06:18:53,suyog41,md5,807f264a055ecccb7f734f68b2d3a2b3,,https://x.com/suyog41/status/1907316791560540334
2025-04-02 06:18:53,suyog41,md5,607c838e0db42a4ca23006336faa9c66,,https://x.com/suyog41/status/1907316791560540334
2025-04-02 06:18:53,suyog41,md5,c2d031f5ec6d4fb8bc2134ce88ccbe26,,https://x.com/suyog41/status/1907316791560540334
2025-04-02 06:18:53,suyog41,md5,1f292632fa37867561a2c381196d4b8a,,https://x.com/suyog41/status/1907316791560540334
2025-04-02 06:34:39,solostalking,url,http://amaprox.icu,,https://x.com/solostalking/status/1907320756595220710
2025-04-02 06:34:39,solostalking,ip,194.48.248.57,,https://x.com/solostalking/status/1907320756595220710
2025-04-02 06:34:39,solostalking,url,https://194.48.248.57,,https://x.com/solostalking/status/1907320756595220710
2025-04-02 06:34:39,solostalking,domain,amaprox.icu,,https://x.com/solostalking/status/1907320756595220710
2025-04-02 06:39:51,siri_urz,md5,3139C8E0D0DD9683EBFECDB2E4F1B6BB,#ransomware,https://x.com/siri_urz/status/1907322066325393793
2025-04-02 06:46:32,drb_ra,url,http://104.194.132.41:7443,#C2 #Covenant,https://x.com/drb_ra/status/1907323746693603600
2025-04-02 06:46:32,drb_ra,ip,104.194.132.41,#C2 #Covenant,https://x.com/drb_ra/status/1907323746693603600
2025-04-02 06:46:36,drb_ra,url,http://139.84.164.200:443,#Havoc #C2,https://x.com/drb_ra/status/1907323762770362557
2025-04-02 06:46:36,drb_ra,ip,139.84.164.200,#Havoc #C2,https://x.com/drb_ra/status/1907323762770362557
2025-04-02 06:46:37,drb_ra,url,http://114.55.11.144:8443,#Sliver #C2,https://x.com/drb_ra/status/1907323766880731477
2025-04-02 06:46:37,drb_ra,ip,114.55.11.144,#Sliver #C2,https://x.com/drb_ra/status/1907323766880731477
2025-04-02 06:46:59,drb_ra,url,http://206.81.22.85:8888,#Supershell #C2,https://x.com/drb_ra/status/1907323860954853744
